Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-06-18,5113800,7953600,39228400,632796000,8871544,119996800,112911000,561500,308200,2957251,4208000,10434400,1780988,52552200,1445600,2512000,3929600
1998-06-19,2875800,16304600,91226800,733572000,10217328,137558400,43827000,1232200,212700,1641911,7725200,5528800,1881225,56968800,3002000,2495200,4695200
1998-06-22,2115000,9360800,48969600,726360000,8947275,134568000,39698400,950300,121200,1376697,7261200,4661600,3120525,48966000,1610400,2772800,6996000
1998-06-23,2727600,7737400,124675200,749268000,8450006,231056000,33183600,984800,105600,2651132,14370000,4396800,2075288,54733200,2072200,2481600,7439200
1998-06-24,2476400,7458600,105724800,1174092000,6338760,273795200,44262600,893600,353200,1971836,28066000,7944000,1717200,65212800,1683800,4238000,5740000
1998-06-25,1753800,6516800,88969600,1089300000,6668878,191811200,32257200,598600,254300,3107460,10864800,7218400,2488050,61035000,2572800,3482600,10732000
1998-06-26,2688400,4249000,55680400,622992000,3423349,111115200,15721800,619100,213700,1332439,6213600,7123200,1473525,53716200,1215400,1661000,6512000
1998-06-29,2434400,3650800,65906000,490152000,4570183,166185600,22618200,666900,197000,3272422,5605600,7296800,2574788,52313400,1947200,1827600,14334400
1998-06-30,4041600,5208800,77010000,437544000,9112752,131062400,30382800,738100,227100,2813076,8828800,11105600,2161013,77700000,1656600,5316200,12824000
1998-07-01,3903800,4782200,53470400,565092000,6624109,314115200,37561200,1228700,204800,3221123,5849600,9270400,1964250,49723800,1634400,4621400,45736800
1998-07-02,1764000,4034400,27321200,1045596000,6735822,298110400,61005600,1016500,107100,4178374,6337600,5815200,1530563,51744000,1147800,2096600,15752800
1998-07-06,2786600,3975600,35307600,937668000,6692726,270950400,30358800,1220200,155100,1421626,13846800,3695200,2488388,35785800,1587400,2288800,14107200
1998-07-07,2060000,5024600,32422800,945036000,4759091,241472000,25014000,809100,106000,1343168,8902800,9404800,3770213,46121400,1704000,2927000,7488800
1998-07-08,2039600,8770000,41553600,1166232000,4724154,932814400,48232800,1423800,99800,3181559,6982400,7382400,2129963,42348600,2901200,2851600,9149600
1998-07-09,2267400,11558600,43690000,589860000,6672434,566608000,61575000,776600,127900,2575021,6268000,3653600,2925788,45988800,2299400,1722600,7120000
1998-07-10,3948600,15129200,45396800,499644000,6422649,302523200,41154600,610500,375900,1440402,6044000,5412800,3640275,44241000,2420600,2262000,6319200
1998-07-13,1220600,5866800,69223200,384960000,4894862,715388800,41445000,587400,91500,2856664,2762000,4840800,2086763,42524400,2446600,2255400,8272000
1998-07-14,2470200,4476000,56972400,507168000,4745911,548531200,56885400,1067700,188700,1587259,8130000,3866400,2921400,46160400,2127400,2031800,6861600
1998-07-15,1630800,16556000,48690000,352200000,5350918,594966400,74725200,978400,141600,2756748,18042400,6879200,2260238,38209800,1678200,2055000,15517600
1998-07-16,2829400,7651400,65125200,279984000,4560769,2561350400,48816600,1619100,299900,2482146,5152800,15615200,3181950,46102200,1559000,1810600,7047200
1998-07-17,3402000,2703600,83108400,356520000,6628293,629552000,39223800,2874300,154900,2459346,7684400,5804000,2946713,66567600,1646400,2002400,8991200
1998-07-20,2462600,3868000,45794800,718500000,9391406,383891200,50903400,1083200,82600,866052,10100400,4980800,2852550,92302800,1525400,1187800,5872000
1998-07-21,1975200,6378200,74605200,946560000,25749591,329504000,51199200,1235500,212100,1207041,17837200,9314400,2580525,77262600,1392400,2770600,9376000
1998-07-22,1894800,5771600,71654400,559488000,12658483,280728000,53298600,1058600,67900,1543336,11611600,9272800,3250463,98843400,4047400,2530400,5340000
1998-07-23,3180200,5207400,51029600,556212000,8688285,253131200,31864200,680000,99100,2414417,47767200,16610400,5315288,56988000,2707000,1544200,7552800
1998-07-24,6686600,5908200,60366400,579480000,6013663,271286400,38740800,830200,246700,1893043,17140000,10622400,4419563,80445600,3684400,3573000,6728800
1998-07-27,3734200,10851800,58998000,576612000,7683288,214233600,45499800,1236500,181200,1768650,13402800,6753600,3906900,68089800,2468200,2582000,4964800
1998-07-28,2906600,11398800,78378400,414936000,8881168,225377600,45169200,1331000,114600,2353060,13934400,10200000,4797900,66456000,2492400,2712800,13316000
1998-07-29,3113000,12576400,59738000,392892000,8409422,447720000,41415000,1169800,123500,2083822,16183200,4942400,4132688,55468800,2241800,2089800,4367200
1998-07-30,3803600,7348200,72746400,635484000,11457256,362297600,43102200,1085800,190300,2976362,17542000,19011200,3624750,58798200,1410600,2799200,6249600
1998-07-31,2828400,14375600,53705200,268812000,13794648,183108800,37299600,1116500,185900,3120872,9973200,10849600,4781363,60683400,2380200,2173000,5735200
1998-08-03,5344800,13408800,73566400,258264000,8740167,301761600,34653600,1149900,121400,3096060,9010000,10774400,2495475,75937800,3076200,3028000,4400000
1998-08-04,6594600,11757600,91412000,561300000,13993179,293921600,53547000,1315900,153100,2698407,11658800,16819200,5137425,120368400,2714400,4129600,9532000
1998-08-05,7090600,11544200,120208800,461208000,13710131,454081600,36434400,1383800,167400,3543336,13051600,15696800,3390863,144369600,2668400,4902400,10292000
1998-08-06,4307600,17379600,68308000,372072000,8579920,438614400,27672600,928100,68600,3245264,10510800,161821600,2531250,78819600,2971000,2750200,6529600
1998-08-07,6028800,12048200,54972400,468660000,12061008,298020800,25819200,782600,199900,3025650,13372000,61660000,3236288,91843800,2287600,3248400,3559200
1998-08-10,4448800,7007200,46763200,370320000,6333948,488600000,19776600,751700,130200,1614753,10637200,58244000,4838738,68205000,1749200,2327800,6085600
1998-08-11,5186600,10879200,60976400,563172000,10699952,1759475200,31141800,1338800,182500,4220285,8442000,44596000,2646000,81696600,2231800,4369000,8293600
1998-08-12,5657000,15603400,53760000,402816000,7703372,689774400,32503800,1043900,278900,5014920,5564400,39219200,2210288,67734600,1678600,2876000,16312800
1998-08-13,4101000,6456000,51193200,492588000,6332066,390779200,25808400,640100,191800,5597988,12189200,60422400,2110050,53187600,1484600,2493400,13213600
1998-08-14,3628800,7319600,29566400,388200000,6585407,450777600,43505400,886200,141600,6877787,6367600,21409600,4205925,56527200,1689800,3144000,9128000
1998-08-17,3244400,8133200,54073200,292356000,6647330,930876800,34530600,730100,226200,2741324,6397600,17489600,3963938,45709800,1765600,4402000,14249600
1998-08-18,3876000,7368200,70591200,360012000,7932655,605953600,50109000,723400,322300,3752892,9128000,16209600,3656475,73733400,1882600,2768200,7243200
1998-08-19,4143600,13695600,55709600,385632000,7470741,485990400,70491000,907500,467200,3328416,7437600,19796800,4166100,88851000,1936600,2126800,6469600
1998-08-20,3453600,10500600,49970400,317724000,6360308,391921600,34464600,705600,84600,2825817,5981600,78269600,3787425,77504400,1833400,2348200,4884000
1998-08-21,3185400,15381000,59523600,302724000,8829077,813377600,47086800,1367800,254800,1780721,12822800,14641600,2643750,83786400,2944600,4942800,7956800
1998-08-24,2543200,11333800,26319200,278988000,6036257,610176000,22714800,799400,109200,2250126,9080800,17336800,2432700,63400200,2001800,2282200,5218400
1998-08-25,3974000,8678200,58026800,287028000,5506562,495566400,25384800,1092200,240400,2105951,16223600,17336800,2370150,70507200,2609200,2765400,4661600
1998-08-26,4843000,6408000,44804400,327816000,9229276,406481600,19456800,1018500,299500,3742498,5687600,14724000,1508400,61074600,1405200,2920800,11097600
1998-08-27,6469600,14645000,74874000,320544000,15369715,1114243200,36361800,1433200,122700,3534954,12593200,28860800,3714075,109182000,3485800,6717400,19092800
1998-08-28,4988600,11634200,72730000,780720000,12139039,932254400,42436800,1437700,174400,2856329,11854800,11284800,2581200,139294200,2469600,9883400,17882400
1998-08-31,6459400,8713600,132690400,820008000,15661340,868224000,61621800,1185800,310300,6947863,12002800,13128000,4246875,224315400,2380600,5276600,20403200
1998-09-01,10547000,16125600,140112400,1349016000,17572172,869075200,76397400,1823900,353700,5623470,19679600,19870400,3551175,223798800,6328800,12437400,16265600
1998-09-02,26038800,7727000,63438400,946572000,11773358,843001600,76332600,1589900,218100,3291534,15342400,15600800,2252250,108430200,4308400,8613200,17334400
